slice_file_name,class
100652-3-0-0.wav,dog_bark
100652-3-0-1.wav,dog_bark
100652-3-0-2.wav,dog_bark
100652-3-0-3.wav,dog_bark
101415-3-0-2.wav,dog_bark
101415-3-0-3.wav,dog_bark
101415-3-0-8.wav,dog_bark
102104-3-0-0.wav,dog_bark
102106-3-0-0.wav,dog_bark
102305-6-0-0.wav,gun_shot
102842-3-0-1.wav,dog_bark
102842-3-1-0.wav,dog_bark
102842-3-1-5.wav,dog_bark
102842-3-1-6.wav,dog_bark
102858-5-0-0.wav,engine_idling
102858-5-0-1.wav,engine_idling
102871-8-0-0.wav,siren
102871-8-0-1.wav,siren
102871-8-0-10.wav,siren
102871-8-0-11.wav,siren
102871-8-0-12.wav,siren
102871-8-0-13.wav,siren
102871-8-0-14.wav,siren
102871-8-0-15.wav,siren
102871-8-0-2.wav,siren
102871-8-0-3.wav,siren
102871-8-0-4.wav,siren
102871-8-0-5.wav,siren
102871-8-0-6.wav,siren
102871-8-0-7.wav,siren
102871-8-0-8.wav,siren
102871-8-0-9.wav,siren
103074-7-0-0.wav,jackhammer
103074-7-0-1.wav,jackhammer
103074-7-0-2.wav,jackhammer
103074-7-1-0.wav,jackhammer
103074-7-1-1.wav,jackhammer
103074-7-1-2.wav,jackhammer
103074-7-1-3.wav,jackhammer
103074-7-1-4.wav,jackhammer
103074-7-1-5.wav,jackhammer
103074-7-1-6.wav,jackhammer
103074-7-2-0.wav,jackhammer
103074-7-3-0.wav,jackhammer
103074-7-3-1.wav,jackhammer
103074-7-3-2.wav,jackhammer
103074-7-3-3.wav,jackhammer
103074-7-4-0.wav,jackhammer
103074-7-4-1.wav,jackhammer
103074-7-4-2.wav,jackhammer
103074-7-4-3.wav,jackhammer
103074-7-4-4.wav,jackhammer
103074-7-4-5.wav,jackhammer
103074-7-4-6.wav,jackhammer
103258-5-0-0.wav,engine_idling
103258-5-0-1.wav,engine_idling
103258-5-0-10.wav,engine_idling
103258-5-0-11.wav,engine_idling
103258-5-0-12.wav,engine_idling
103258-5-0-13.wav,engine_idling
103258-5-0-14.wav,engine_idling
103258-5-0-15.wav,engine_idling
103258-5-0-16.wav,engine_idling
103258-5-0-17.wav,engine_idling
103258-5-0-18.wav,engine_idling
103258-5-0-19.wav,engine_idling
103258-5-0-2.wav,engine_idling
103258-5-0-3.wav,engine_idling
103258-5-0-4.wav,engine_idling
103258-5-0-5.wav,engine_idling
103258-5-0-6.wav,engine_idling
103258-5-0-7.wav,engine_idling
103258-5-0-8.wav,engine_idling
103258-5-0-9.wav,engine_idling
104817-4-0-0.wav,drilling
104817-4-0-1.wav,drilling
104817-4-0-10.wav,drilling
104817-4-0-11.wav,drilling
104817-4-0-2.wav,drilling
104817-4-0-3.wav,drilling
104817-4-0-4.wav,drilling
104817-4-0-5.wav,drilling
104817-4-0-6.wav,drilling
104817-4-0-7.wav,drilling
104817-4-0-8.wav,drilling
104817-4-0-9.wav,drilling
105415-2-0-1.wav,children_playing
105415-2-0-15.wav,children_playing
105415-2-0-19.wav,children_playing
105415-2-0-21.wav,children_playing
105415-2-0-24.wav,children_playing
105415-2-0-4.wav,children_playing
105415-2-0-6.wav,children_playing
105415-2-0-8.wav,children_playing
106015-5-0-0.wav,engine_idling
106015-5-0-1.wav,engine_idling
106015-5-0-10.wav,engine_idling
106015-5-0-11.wav,engine_idling
106015-5-0-12.wav,engine_idling
106015-5-0-13.wav,engine_idling
106015-5-0-14.wav,engine_idling
106015-5-0-15.wav,engine_idling
106015-5-0-16.wav,engine_idling
106015-5-0-17.wav,engine_idling
106015-5-0-18.wav,engine_idling
106015-5-0-19.wav,engine_idling
106015-5-0-2.wav,engine_idling
106015-5-0-20.wav,engine_idling
106015-5-0-3.wav,engine_idling
106015-5-0-4.wav,engine_idling
106015-5-0-5.wav,engine_idling
106015-5-0-6.wav,engine_idling
106015-5-0-7.wav,engine_idling
106015-5-0-8.wav,engine_idling
106015-5-0-9.wav,engine_idling
106905-8-0-0.wav,siren
106905-8-0-1.wav,siren
106905-8-0-2.wav,siren
106905-8-0-3.wav,siren
108041-9-0-11.wav,street_music
108041-9-0-2.wav,street_music
108041-9-0-4.wav,street_music
108041-9-0-5.wav,street_music
108041-9-0-6.wav,street_music
108041-9-0-7.wav,street_music
108041-9-0-9.wav,street_music
108187-3-2-0.wav,dog_bark
108187-3-3-0.wav,dog_bark
108187-3-4-0.wav,dog_bark
108187-3-6-0.wav,dog_bark
108362-2-0-11.wav,children_playing
108362-2-0-12.wav,children_playing
108362-2-0-21.wav,children_playing
108362-2-0-23.wav,children_playing
108362-2-0-29.wav,children_playing
108362-2-0-30.wav,children_playing
108362-2-0-7.wav,children_playing
108362-2-0-9.wav,children_playing
109703-2-0-134.wav,children_playing
109703-2-0-14.wav,children_playing
109703-2-0-153.wav,children_playing
109703-2-0-29.wav,children_playing
109703-2-0-32.wav,children_playing
109703-2-0-48.wav,children_playing
109703-2-0-50.wav,children_playing
112195-3-0-38.wav,dog_bark
112195-3-0-48.wav,dog_bark
112195-3-0-57.wav,dog_bark
112195-3-0-80.wav,dog_bark
113201-5-0-0.wav,engine_idling
113201-5-0-1.wav,engine_idling
113201-5-0-2.wav,engine_idling
113201-5-0-3.wav,engine_idling
113201-5-0-4.wav,engine_idling
113201-5-0-5.wav,engine_idling
113201-5-0-6.wav,engine_idling
113201-5-0-7.wav,engine_idling
113205-5-0-0.wav,engine_idling
113205-5-1-0.wav,engine_idling
113205-5-1-1.wav,engine_idling
113205-5-1-2.wav,engine_idling
113205-5-1-3.wav,engine_idling
113205-5-1-4.wav,engine_idling
113205-5-1-5.wav,engine_idling
113205-5-1-6.wav,engine_idling
113205-5-1-7.wav,engine_idling
113205-5-1-8.wav,engine_idling
113205-5-1-9.wav,engine_idling
113785-3-0-0.wav,dog_bark
113785-3-1-0.wav,dog_bark
114587-3-0-2.wav,dog_bark
114587-3-0-4.wav,dog_bark
114587-3-0-5.wav,dog_bark
114587-3-0-7.wav,dog_bark
115537-3-0-0.wav,dog_bark
118101-3-0-0.wav,dog_bark
118101-3-0-3.wav,dog_bark
118101-3-0-4.wav,dog_bark
118101-3-0-6.wav,dog_bark
118279-8-0-0.wav,siren
118279-8-0-1.wav,siren
118279-8-0-10.wav,siren
118279-8-0-11.wav,siren
118279-8-0-12.wav,siren
118279-8-0-13.wav,siren
118279-8-0-14.wav,siren
118279-8-0-2.wav,siren
118279-8-0-3.wav,siren
118279-8-0-4.wav,siren
118279-8-0-5.wav,siren
118279-8-0-6.wav,siren
118279-8-0-7.wav,siren
118279-8-0-8.wav,siren
118279-8-0-9.wav,siren
118723-4-0-0.wav,drilling
118962-3-0-0.wav,dog_bark
118963-3-0-0.wav,dog_bark
119455-5-0-0.wav,engine_idling
119455-5-0-1.wav,engine_idling
119455-5-0-2.wav,engine_idling
119455-5-0-3.wav,engine_idling
119455-5-0-4.wav,engine_idling
119455-5-0-5.wav,engine_idling
119455-5-0-6.wav,engine_idling
119455-5-0-7.wav,engine_idling
122690-6-0-0.wav,gun_shot
123688-8-0-0.wav,siren
123688-8-0-1.wav,siren
123688-8-0-10.wav,siren
123688-8-0-11.wav,siren
123688-8-0-12.wav,siren
123688-8-0-13.wav,siren
123688-8-0-14.wav,siren
123688-8-0-15.wav,siren
123688-8-0-16.wav,siren
123688-8-0-17.wav,siren
123688-8-0-18.wav,siren
123688-8-0-2.wav,siren
123688-8-0-3.wav,siren
123688-8-0-4.wav,siren
123688-8-0-5.wav,siren
123688-8-0-6.wav,siren
123688-8-0-7.wav,siren
123688-8-0-8.wav,siren
123688-8-0-9.wav,siren
123688-8-1-0.wav,siren
123688-8-1-1.wav,siren
123688-8-1-2.wav,siren
123688-8-1-3.wav,siren
123688-8-1-4.wav,siren
123688-8-1-5.wav,siren
123688-8-2-0.wav,siren
123688-8-2-1.wav,siren
123688-8-2-2.wav,siren
123688-8-2-3.wav,siren
123688-8-2-4.wav,siren
124489-9-0-12.wav,street_music
124489-9-0-14.wav,street_music
124489-9-0-16.wav,street_music
124489-9-0-17.wav,street_music
124489-9-0-18.wav,street_music
124489-9-0-6.wav,street_music
125791-3-0-12.wav,dog_bark
125791-3-0-13.wav,dog_bark
125791-3-0-15.wav,dog_bark
125791-3-0-9.wav,dog_bark
127872-0-0-0.wav,air_conditioner
127873-0-0-0.wav,air_conditioner
130030-3-0-0.wav,dog_bark
132016-9-0-0.wav,street_music
132016-9-0-11.wav,street_music
132016-9-0-14.wav,street_music
132016-9-0-16.wav,street_music
132016-9-0-20.wav,street_music
132016-9-0-6.wav,street_music
132073-1-0-0.wav,car_horn
132073-1-1-0.wav,car_horn
132073-1-2-0.wav,car_horn
132073-1-3-0.wav,car_horn
132073-1-4-0.wav,car_horn
132073-1-5-0.wav,car_horn
132073-1-6-0.wav,car_horn
134717-0-0-0.wav,air_conditioner
134717-0-0-1.wav,air_conditioner
134717-0-0-12.wav,air_conditioner
134717-0-0-13.wav,air_conditioner
134717-0-0-14.wav,air_conditioner
134717-0-0-15.wav,air_conditioner
134717-0-0-16.wav,air_conditioner
134717-0-0-18.wav,air_conditioner
134717-0-0-19.wav,air_conditioner
134717-0-0-2.wav,air_conditioner
134717-0-0-20.wav,air_conditioner
